[['Minnesota Timberwolves', 0.4, 10.0, 18.0, 0.765], ['Houston Rockets', 0.519, 23.0, 11.0, 0.813], 0]
[['Charlotte Bobcats', 0.353, 15.0, 11.0, 0.778], ['Milwaukee Bucks', 0.494, 14.0, 14.0, 0.556], 1]
[['Cleveland Cavaliers', 0.47, 17.0, 10.0, 0.7], ['San Antonio Spurs', 0.575, 15.0, 6.0, 0.783], 0]
[['Dallas Mavericks', 0.402, 11.0, 7.0, 0.92], ['Denver Nuggets', 0.443, 18.0, 8.0, 0.7], 0]
[['Portland Trail Blazers', 0.43, 15.0, 13.0, 0.829], ['Golden State Warriors', 0.468, 19.0, 5.0, 0.733], 1]
[['Detroit Pistons', 0.455, 17.0, 8.0, 0.722], ['Brooklyn Nets', 0.475, 9.0, 13.0, 0.7], 1]
[['Chicago Bulls', 0.395, 14.0, 11.0, 0.609], ['Los Angeles Clippers', 0.585, 9.0, 6.0, 0.895], 0]
[['Phoenix Suns', 0.464, 12.0, 7.0, 0.857], ['Orlando Magic', 0.484, 9.0, 10.0, 0.333], 1]
[['Utah Jazz', 0.394, 18.0, 6.0, 0.448], ['Oklahoma City Thunder', 0.507, 16.0, 5.0, 0.818], 0]
[['Sacramento Kings', 0.417, 13.0, 7.0, 0.533], ['Los Angeles Lakers', 0.46, 10.0, 9.0, 0.8], 0]
[['Boston Celtics', 0.438, 11.0, 11.0, 0.81], ['Charlotte Bobcats', 0.446, 16.0, 9.0, 0.85], 1]
[['Minnesota Timberwolves', 0.33, 19.0, 14.0, 0.821], ['Indiana Pacers', 0.5, 20.0, 7.0, 0.588], 0]
[['Milwaukee Bucks', 0.452, 18.0, 10.0, 0.846], ['Detroit Pistons', 0.538, 10.0, 5.0, 0.652], 0]
[['Phoenix Suns', 0.398, 15.0, 14.0, 0.75], ['Miami Heat', 0.494, 14.0, 7.0, 0.917], 0]
[['Houston Rockets', 0.415, 15.0, 14.0, 0.778], ['Memphis Grizzlies', 0.493, 18.0, 11.0, 0.704], 1]
[['Denver Nuggets', 0.463, 13.0, 10.0, 0.789], ['Dallas Mavericks', 0.547, 13.0, 10.0, 0.714], 1]
