[['Phoenix Suns', 0.369, 14.0, 15.0, 0.7], ['Indiana Pacers', 0.447, 12.0, 13.0, 0.9], 1]
[['Miami Heat', 0.449, 14.0, 18.0, 0.704], ['Orlando Magic', 0.521, 16.0, 7.0, 0.722], 1]
[['Toronto Raptors', 0.4, 8.0, 8.0, 0.905], ['Cleveland Cavaliers', 0.432, 18.0, 11.0, 0.69], 1]
[['Philadelphia 76ers', 0.4, 18.0, 10.0, 0.6], ['New York Knicks', 0.5, 18.0, 6.0, 0.905], 0]
[['Dallas Mavericks', 0.366, 17.0, 14.0, 0.87], ['Houston Rockets', 0.398, 14.0, 16.0, 0.727], 0]
[['Sacramento Kings', 0.411, 10.0, 15.0, 0.778], ['Minnesota Timberwolves', 0.494, 18.0, 14.0, 0.833], 1]
[['Washington Wizards', 0.429, 14.0, 8.0, 0.885], ['Milwaukee Bucks', 0.462, 14.0, 20.0, 0.773], 1]
[['Brooklyn Nets', 0.374, 11.0, 13.0, 1.0], ['San Antonio Spurs', 0.519, 14.0, 6.0, 0.818], 0]
[['New Orleans Pelicans', 0.452, 9.0, 18.0, 0.818], ['Utah Jazz', 0.465, 18.0, 11.0, 0.793], 1]
[['Portland Trail Blazers', 0.389, 8.0, 12.0, 0.75], ['Boston Celtics', 0.43, 16.0, 10.0, 0.867], 1]
[['Los Angeles Clippers', 0.416, 10.0, 5.0, 0.714], ['Memphis Grizzlies', 0.494, 17.0, 12.0, 0.696], 0]
[['Charlotte Hornets', 0.468, 11.0, 5.0, 0.75], ['Miami Heat', 0.5, 16.0, 3.0, 0.895], 0]
[['Golden State Warriors', 0.355, 9.0, 13.0, 0.75], ['Oklahoma City Thunder', 0.356, 11.0, 13.0, 0.704], 1]
[['Denver Nuggets', 0.371, 13.0, 9.0, 0.735], ['Los Angeles Lakers', 0.378, 16.0, 14.0, 0.605], 1]
[['Los Angeles Clippers', 0.413, 5.0, 5.0, 0.8], ['Charlotte Hornets', 0.511, 8.0, 8.0, 0.8], 1]
[['Orlando Magic', 0.363, 17.0, 13.0, 0.733], ['Cleveland Cavaliers', 0.519, 12.0, 12.0, 0.727], 0]
[['Portland Trail Blazers', 0.494, 15.0, 18.0, 0.826], ['Philadelphia 76ers', 0.5, 10.0, 7.0, 0.833], 1]
[['Phoenix Suns', 0.451, 12.0, 8.0, 0.813], ['Toronto Raptors', 0.464, 20.0, 11.0, 0.727], 0]
[['New York Knicks', 0.421, 16.0, 10.0, 0.684], ['Houston Rockets', 0.461, 17.0, 9.0, 0.667], 0]
[['Indiana Pacers', 0.481, 12.0, 8.0, 0.667], ['Dallas Mavericks', 0.5, 12.0, 6.0, 0.571], 1]
[['Chicago Bulls', 0.488, 13.0, 11.0, 0.8], ['Utah Jazz', 0.5, 16.0, 7.0, 0.696], 1]
[['Atlanta Hawks', 0.424, 10.0, 12.0, 0.794], ['Washington Wizards', 0.429, 20.0, 16.0, 0.724], 1]
[['Golden State Warriors', 0.388, 9.0, 12.0, 0.778], ['Miami Heat', 0.573, 11.0, 5.0, 0.652], 1]
[['Detroit Pistons', 0.433, 16.0, 19.0, 0.769], ['Milwaukee Bucks', 0.462, 19.0, 8.0, 0.412], 0]
[['Sacramento Kings', 0.418, 10.0, 14.0, 0.69], ['New Orleans Pelicans', 0.481, 9.0, 7.0, 0.833], 1]
