[[0.433, 11.917, 11.521, 0.765], [0.447, 14.545, 11.773, 0.769], [1, 0]]
[[0.432, 12.75, 10.583, 0.701], [0.423, 11.714, 9.071, 0.739], [0, 1]]
[[0.426, 13.383, 11.867, 0.74], [0.435, 12.793, 10.741, 0.786], [0, 1]]
[[0.448, 13.329, 9.729, 0.767], [0.445, 13.901, 10.282, 0.763], [1, 0]]
[[0.442, 10.586, 9.0, 0.708], [0.416, 13.828, 11.414, 0.714], [1, 0]]
[[0.453, 12.956, 10.467, 0.741], [0.433, 11.935, 11.413, 0.77], [0, 1]]
[[0.452, 12.057, 11.486, 0.72], [0.453, 14.2, 9.943, 0.702], [0, 1]]
[[0.378, 14.625, 11.625, 0.616], [0.372, 12.0, 8.0, 0.698], [1, 0]]
[[0.445, 13.246, 11.0, 0.739], [0.425, 13.527, 11.855, 0.738], [0, 1]]
[[0.415, 16.863, 10.836, 0.688], [0.437, 14.096, 11.658, 0.728], [1, 0]]
[[0.442, 12.63, 10.519, 0.742], [0.415, 11.667, 11.667, 0.743], [0, 1]]
